data_hora,temperatura,frq_cardiaca,pressao_sistolica,pressao_diastolica,oxigenacao,horas_sono
2026-09-15 09:15:05,38.6,148,178,119,93.0,4
2026-09-15 09:16:05,37.4,80,110,78,99.0,6
2026-09-15 09:17:05,36.7,80,101,78,96.9,9
2026-09-15 09:18:05,36.5,75,111,69,99.7,7
2026-09-15 09:19:05,37.3,64,92,78,97.2,7
2026-09-15 09:20:05,36.8,76,101,78,95.9,7
2026-09-15 09:21:05,37.5,81,97,63,97.5,9
2026-09-15 09:22:05,36.1,66,94,74,97.3,9
2026-09-15 09:23:05,36.6,82,110,72,95.2,8
2026-09-15 09:24:05,37.3,68,96,75,97.8,9
2026-09-15 09:25:05,39.3,129,148,109,92.7,3
2026-09-15 09:26:05,36.6,63,91,72,95.9,9
2026-09-15 09:27:05,36.6,80,114,67,95.9,6
2026-09-15 09:28:05,36.1,71,120,78,98.4,6
2026-09-15 09:29:05,36.7,76,101,66,97.5,9
2026-09-15 09:30:05,36.3,98,112,74,97.6,9
2026-09-15 09:31:05,36.6,72,92,62,96.0,6
2026-09-15 09:32:05,36.0,99,113,75,98.4,7
2026-09-15 09:33:05,36.7,99,112,80,95.5,9
2026-09-15 09:34:05,36.8,74,118,68,97.6,6
2026-09-15 09:35:05,39.1,174,147,90,85.2,2
2026-09-15 09:36:05,36.2,69,94,74,96.6,8
2026-09-15 09:37:05,36.1,88,109,74,97.8,7
2026-09-15 09:38:05,37.4,82,95,72,99.2,7
2026-09-15 09:39:05,36.6,99,119,74,97.7,7
2026-09-15 09:40:05,36.9,76,109,67,99.3,8
2026-09-15 09:41:05,36.4,97,111,70,96.2,6
2026-09-15 09:42:05,37.2,92,97,80,95.3,9
2026-09-15 09:43:05,37.3,79,108,68,99.4,7
2026-09-15 09:44:05,36.9,92,117,67,96.4,8
2026-09-15 09:45:05,39.0,163,155,116,91.1,3
2026-09-15 09:46:05,36.9,99,96,70,95.9,7
2026-09-15 09:47:05,37.3,61,94,66,97.1,8
2026-09-15 09:48:05,37.2,84,91,74,98.5,9
2026-09-15 09:49:05,37.0,66,103,69,96.0,8
2026-09-15 09:50:05,36.0,76,112,72,99.0,9
2026-09-15 09:51:05,37.2,98,91,72,96.6,8
2026-09-15 09:52:05,37.3,84,105,79,96.1,6
2026-09-15 09:53:05,36.4,92,106,76,96.2,6
2026-09-15 09:54:05,37.1,92,96,61,96.1,9
2026-09-15 09:55:05,39.9,144,164,118,93.7,3
2026-09-15 09:56:05,36.1,69,90,73,95.0,6
2026-09-15 09:57:05,37.2,93,90,75,96.2,7
2026-09-15 09:58:05,36.2,96,113,74,99.1,8
2026-09-15 09:59:05,37.4,77,98,76,98.4,8
2026-09-15 10:00:05,37.1,65,109,62,95.4,8
2026-09-15 10:01:05,36.6,67,90,70,99.4,7
2026-09-15 10:02:05,37.4,68,91,62,95.5,9
2026-09-15 10:03:05,36.8,69,93,75,99.6,8
2026-09-15 10:04:05,36.2,68,90,72,97.1,8
2026-09-15 10:05:05,38.7,128,141,118,94.5,3
2026-09-15 10:06:05,37.0,66,90,62,99.9,8
2026-09-15 10:07:05,37.0,94,99,74,97.9,6
2026-09-15 10:08:05,37.4,91,119,64,98.5,6
2026-09-15 10:09:05,36.5,69,112,61,96.3,8
2026-09-15 10:10:05,36.6,66,101,71,99.9,7
2026-09-15 10:11:05,37.2,69,114,72,97.4,6
2026-09-15 10:12:05,36.4,92,98,77,99.8,6
2026-09-15 10:13:05,36.5,75,109,70,95.7,9
2026-09-15 10:14:05,36.1,87,95,70,95.8,6
2026-09-15 10:15:05,39.1,161,160,94,88.6,4
2026-09-15 10:16:05,36.9,100,102,76,98.7,9
2026-09-15 10:17:05,36.9,71,110,72,99.1,8
2026-09-15 10:18:05,36.3,84,105,72,97.0,9
2026-09-15 10:19:05,37.1,72,100,63,98.0,6
2026-09-15 10:20:05,37.5,67,95,75,97.0,8
2026-09-15 10:21:05,36.0,84,109,71,98.1,7
2026-09-15 10:22:05,36.3,78,97,62,98.9,6
2026-09-15 10:23:05,37.0,86,99,62,98.8,8
2026-09-15 10:24:05,36.8,79,99,77,99.0,6
2026-09-15 10:25:05,38.1,172,169,100,94.1,3
2026-09-15 10:26:05,36.7,80,120,76,98.1,9
2026-09-15 10:27:05,36.9,85,101,76,97.7,6
2026-09-15 10:28:05,37.5,87,106,73,98.1,8
2026-09-15 10:29:05,36.8,67,98,68,97.6,7
2026-09-15 10:30:05,36.4,98,94,63,95.5,9
2026-09-15 10:31:05,36.4,62,112,78,96.6,8
2026-09-15 10:32:05,36.2,73,100,80,98.3,8
2026-09-15 10:33:05,37.2,83,99,72,95.7,8
2026-09-15 10:34:05,36.8,62,94,69,99.9,9
2026-09-15 10:35:05,39.7,139,147,115,88.0,4
2026-09-15 10:36:05,37.0,78,92,80,95.9,8
2026-09-15 10:37:05,37.2,75,115,60,97.4,9
2026-09-15 10:38:05,37.3,85,113,62,98.7,7
2026-09-15 10:39:05,36.4,94,100,77,97.4,9
2026-09-15 10:40:05,36.9,69,95,66,99.9,9
2026-09-15 10:41:05,36.3,63,99,76,98.1,7
2026-09-15 10:42:05,36.3,89,100,73,95.1,9
2026-09-15 10:43:05,37.5,76,96,73,95.9,7
2026-09-15 10:44:05,36.8,80,119,68,99.0,6
2026-09-15 10:45:05,38.8,158,164,108,86.3,2
2026-09-15 10:46:05,36.0,80,106,68,97.5,7
2026-09-15 10:47:05,36.8,91,110,74,97.4,6
2026-09-15 10:48:05,36.9,69,94,80,99.2,8
2026-09-15 10:49:05,36.1,75,92,60,97.4,6
2026-09-15 10:50:05,37.4,86,103,71,95.0,8
2026-09-15 10:51:05,37.3,63,110,69,95.5,9
2026-09-15 10:52:05,36.3,71,117,61,99.5,6
2026-09-15 10:53:05,37.5,97,117,73,99.3,8
2026-09-15 10:54:05,37.2,62,106,73,100.0,7
